Method,Dataset,UnlabeledFraction,RMSE,NLL,CRPS,Cov90,Width90,CoverageGap90,CalibMAE,MeanWeight,MeanDisagreement,train_s,eval_s
SupervisedOnly,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,0.25,0.8915620446205139,2.1346349716186523,0.4479001462459564,0.75518798828125,1.7208976745605469,0.14481201171875002,0.0640101432800293,0.0,0.0,1.3384684170014225,0.015374042006442323
MeanTeacher,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,0.25,0.8873944878578186,4.137241363525391,0.46131378412246704,0.617584228515625,1.3645312786102295,0.282415771484375,0.09833406656980515,0.8,0.0,2.7356920010061003,0.012171167007181793
ConfidenceWeightedPseudoLabel,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,0.25,0.8946952223777771,4.657982349395752,0.4772152900695801,0.508209228515625,1.010444164276123,0.391790771484375,0.12651945650577545,0.976573646068573,0.0,8.877848125004675,0.011045499995816499
SAGE-Reg,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,0.25,0.9041783809661865,2.587252616882324,0.460395872592926,0.6676025390625,1.4755157232284546,0.23239746093750002,0.09309884905815125,0.9652961492538452,0.006615001708269119,4.590845291997539,0.011339458986185491
SupervisedOnly,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,0.5,0.8915620446205139,2.1346349716186523,0.4479001462459564,0.75518798828125,1.7208976745605469,0.14481201171875002,0.0640101432800293,0.0,0.0,0.6519229169934988,0.01246291701681912
MeanTeacher,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,0.5,0.8864114284515381,4.068221092224121,0.4612753689289093,0.615325927734375,1.354917287826538,0.284674072265625,0.09896369278430939,0.8,0.0,2.0649305839906447,0.011995374981779605
ConfidenceWeightedPseudoLabel,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,0.5,0.9131101965904236,4.865184307098389,0.48633673787117004,0.4912109375,1.0013763904571533,0.4087890625,0.1308336704969406,0.976743221282959,0.0,15.263133125001332,0.010887624986935407
SAGE-Reg,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,0.5,0.9020062685012817,2.2187914848327637,0.45747408270835876,0.686859130859375,1.5329744815826416,0.21314086914062502,0.09163721650838852,0.9647586345672607,0.006670371629297733,3.879769874998601,0.01168195900390856
SupervisedOnly,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.8915620446205139,2.1346349716186523,0.4479001462459564,0.75518798828125,1.7208976745605469,0.14481201171875002,0.0640101432800293,0.0,0.0,0.6989932500000577,0.011943541001528502
MeanTeacher,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.8877015113830566,3.976048231124878,0.4606039822101593,0.619049072265625,1.3566441535949707,0.280950927734375,0.0977478101849556,0.8,0.0,2.074402416998055,0.014376709004864097
ConfidenceWeightedPseudoLabel,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.9008802771568298,3.969097137451172,0.4770316481590271,0.514007568359375,1.069284200668335,0.385992431640625,0.12850020825862885,0.9766166806221008,0.0,29.359414915990783,0.011882165999850258
SAGE-Reg,/Users/fabbros/src/torchregress/data/paper/openml_year.csv,1.0,0.9056075811386108,2.0032472610473633,0.4581788182258606,0.7059326171875,1.5777759552001953,0.19406738281250002,0.08921123296022415,0.9683865308761597,0.00595441646873951,4.024261707992991,0.011987290985416621
