Method,Dataset,UnlabeledFraction,RMSE,NLL,CRPS,Cov90,Width90,CoverageGap90,CalibMAE,MeanWeight,MeanDisagreement,train_s,eval_s,TabReDSplit,N_train_pool_used,N_test_used
SupervisedOnly,cooking-time,1.0,0.8017895817756653,1.4133682250976562,0.4560944139957428,0.7588253617286682,1.8892972469329834,0.1411746382713318,0.05446261540055275,0.0,0.0,0.9320727090234868,0.020712791971163824,default,69632,41613
MeanTeacher,cooking-time,1.0,0.8221394419670105,2.0066568851470947,0.48317790031433105,0.6469372510910034,1.555789589881897,0.2530627489089966,0.0859469622373581,0.8,0.0,1.938145001011435,0.018170042021665722,default,69632,41613
ConfidenceWeightedPseudoLabel,cooking-time,1.0,0.8181849122047424,2.9378345012664795,0.5036202073097229,0.5250282287597656,1.1491385698318481,0.3749717712402344,0.11970158666372299,0.9992598295211792,0.0,10.605624334013555,0.01874245799263008,default,69632,41613
SAGE-Reg,cooking-time,1.0,0.8276181817054749,1.7596344947814941,0.4826149344444275,0.6769518852233887,1.6486419439315796,0.22304811477661135,0.08326231688261032,0.9899965524673462,0.0018221106147393584,3.4384689180296846,0.018583083990961313,default,69632,41613
SupervisedOnly,delivery-eta,1.0,0.817541778087616,1.822303295135498,0.481596976518631,0.6532154083251953,1.5096880197525024,0.2467845916748047,0.09699612110853195,0.0,0.0,0.6402938330138568,0.017702292010653764,default,69632,37320
MeanTeacher,delivery-eta,1.0,0.8129235506057739,2.622340440750122,0.4886249303817749,0.575937807559967,1.2423713207244873,0.324062192440033,0.10489791631698608,0.8,0.0,1.7805122080026194,0.017445667006541044,default,69632,37320
ConfidenceWeightedPseudoLabel,delivery-eta,1.0,0.8103838562965393,3.055555820465088,0.49841949343681335,0.515943169593811,1.0737779140472412,0.384056830406189,0.1225418895483017,0.9996895790100098,0.0,10.47563583299052,0.01762258299277164,default,69632,37320
SAGE-Reg,delivery-eta,1.0,0.8148965835571289,2.2021822929382324,0.4875558316707611,0.602009654045105,1.334852695465088,0.29799034595489504,0.10337480902671814,0.9835156202316284,0.003022259334102273,3.5351750000263564,0.020390916004544124,default,69632,37320
SupervisedOnly,maps-routing,1.0,0.4858815670013428,1.688057541847229,0.2799653112888336,0.6570870876312256,0.8785712718963623,0.24291291236877444,0.08422712981700897,0.0,0.0,0.7457055410195608,0.0533749999885913,default,69632,59919
MeanTeacher,maps-routing,1.0,0.4943547248840332,3.2503206729888916,0.2983151376247406,0.5216041803359985,0.6493724584579468,0.3783958196640015,0.1232772096991539,0.8,0.0,2.9016300410148688,0.04107583299628459,default,69632,59919
ConfidenceWeightedPseudoLabel,maps-routing,1.0,0.5009000301361084,2.339099884033203,0.29372870922088623,0.5723059177398682,0.7566356062889099,0.32769408226013186,0.10849147289991379,0.9999898672103882,0.0,13.26876354101114,0.04057025001384318,default,69632,59919
SAGE-Reg,maps-routing,1.0,0.49245598912239075,1.9022258520126343,0.2856733500957489,0.6284818053245544,0.837598979473114,0.2715181946754456,0.09534301608800888,0.9941498041152954,0.0010596903739497066,6.02078629101743,0.04069029199308716,default,69632,59919
